Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
MATH, 10100-1,West Bldg W205,F,6:00 PM,Shankar Subash,200 mins
MATH, 10100-2,East Bldg E921,W,6:00 PM,Chess Daniel,200 mins
MATH, 10100-3,West Bldg W204,T,6:00 PM,Thompson Robert D,200 mins
MATH, 10100-4,West Bldg W605,T,8:00 PM,Bendersky Martin,200 mins
MATH, 10100-5,North Bldg C110,TH,7:00 PM,Chess Daniel,200 mins
MATH, 10100-1,West Bldg W205,F,6:00 PM,Shankar Subash,200 mins
MATH, 10100-2,East Bldg E921,W,6:00 PM,Chess Daniel,200 mins
MATH, 10100-3,West Bldg W204,T,6:00 PM,Thompson Robert D,200 mins
MATH, 10100-4,West Bldg W605,T,8:00 PM,Bendersky Martin,200 mins
MATH, 10100-5,North Bldg C110,TH,7:00 PM,Chess Daniel,200 mins
MATH, 10100-6,West Bldg W117,M,8:00 PM,Samra Michael,200 mins
MATH, 10100-7,West Bldg W406,F,6:00 PM,Shneerson Lev,200 mins
MATH, 10100-8,North Bldg 118,T,7:00 PM,Chess Daniel,200 mins
MATH, 10200-1,North Bldg 1311,W,8:00 PM,Bendersky Martin,200 mins
MATH, 10400-1,North Bldg C110,MTH,10:00 AM,Bendersky Martin,100 mins
MATH, 10500-1,North Bldg 1311,WF,3:00 PM,Shneerson Lev,100 mins
MATH, 12400-1,West Bldg W215,F,8:00 PM,Samra Michael,200 mins
MATH, 12400-1,West Bldg W215,F,8:00 PM,Samra Michael,200 mins
MATH, 12550-1,West Bldg W215,M,2:00 PM,Samra Michael,200 mins
MATH, 12550-2,North Bldg C100,M,3:00 PM,Thompson Robert D,200 mins
MATH, 12550-3,North Bldg 1311,M,2:00 PM,Shneerson Lev,200 mins
MATH, 12550-4,East Bldg E922,TH,1:00 PM,Shankar Subash,200 mins
MATH, 12550-5,East Bldg E919,W,2:00 PM,Bendersky Martin,200 mins
MATH, 12550-6,North Bldg 1311,T,3:00 PM,Shneerson Lev,200 mins
MATH, 12550-7,East Bldg E920,W,4:00 PM,Shankar Subash,200 mins
MATH, 12550-8,ThomHunter 502,F,4:00 PM,Thompson Robert D,200 mins
