Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ANTHC,31800,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Evening,,ANTHC 31800
ANTHC,32060,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,1,,,Afternoon,,ANTHC 32060
ANTHC,32081,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Morning,,ANTHC 32081
ANTHC,32166,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Afternoon,,ANTHC 32166
ANTHC,40161,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,2,,,Afternoon,,ANTHC 40161
ANTHC,42659,1,"North Bldg 710,ThomHunter 408,North Bldg 717,North Bldg 510,North Bldg 705,West Bldg W511,North Bldg C114,West Bldg W615,North Bldg 1036,West Bldg W714","Quiroa-Crowell Lilianna E,Hastings Thayer,Hodges David Julian,Brown Jacqueline Nassy,Parry William J,Gerdes Jason Lee,Hicks Megan Taylor,Gilbert Christopher Charles,Fierman Julia B,Lozny Ludomir R,Creed Gerald W,Gensler Lee,Tran Creque Steven,Coleman Leo C",2,1,,,Afternoon,,ANTHC 42659
ANTHP,10100,5,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,1,,,Morning,,ANTHP 10100
ANTHP,10100,7,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,1,,,Afternoon,,ANTHP 10100
ANTHP,10100,4,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",2,1,,,Evening,,ANTHP 10100
ANTHP,10500,3,"West Bldg W415,North Bldg 717,North Bldg 712,North Bldg 1036,North Bldg 730","Westphal Darice Rae,Soler Angela,Gilbert Christopher Charles,Cassalett Santiago,Baden Andrea,Parks Ashley Nicole",1,1,,,Morning,,ANTHP 10500
