course,sections,rooms,instructors,time,credits
ARTCR 29000,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 32200,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 32200,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Evening,4
ARTCR 32600,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 32600,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 33600,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
ARTCR 33600,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 35200,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Afternoon,4
ARTCR 35200,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Evening,4
ARTCR 35700,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",Morning,4
